enorm	stark	
ISO	ISO	
solide	sichere	
präzise	genau	
Know-how	Fachwissens	
parallel	gleichzeitig	
engagieren	bemühen	
debattieren	sprechen uns	
drastisch	in hohem Maß	
politisch	politisch	
handeln	handeln	
WTO	Welthandelsorganisation	
kontrollieren	überprüfen	
couragiert	beherzt	
NATO	NATO	
generell	allgemein	
massiv	äußerst stark	
unterminieren	aushöhlen	
modern	fortschrittlich	
UN-Resolution	UN-Beschluss	
präsentieren	darstellen	
autorisieren	ermächtigen	
UNO	UNO	
lukrativ	gewinnbringend	
infiltrieren	eindringen	
individuell	einzeln	
Avantgarde-Länder	Vorreiter-Länder	
etablieren	einrichten	
high level steering group	höheren Lenkungsgruppe	
hot spots	Brennpunkten	
unfair	ungerecht	
raffiniert	durchtrieben	
finanzieren	bezahlen	
demokratisieren	demokratisieren	
prosperieren	gedeihen	
kaschieren	verbergen	
PR-Kampagne	Werbekampagne	
präzisieren	genauer zu fassen	
UN-Konferenz	UN-Zusammenkunft	
variabel	abwandelbar	
blockieren	stoppen	
riskieren	laufen wir ständig Gefahr	
motivieren	anspornen	
komplett	vollständig	
live	zeitgleich	
basieren	fußen	
komplementär	unterstützend	
vage	schwammige	
repräsentieren	stellen	
experimentieren	Versuche zu starten	
krepieren	verrecken	
riskant	gefährlich	
liberal	großzügig	
leger	locker	
HIV	HIV	
fair	gerecht	
permanent	unablässig	
UN-Vertreter	UN-Vertreter	
plädieren	möchten	
passieren	vorkommen	
Klischee	eingefahrenen Vorstellung	
Paradoxon	Widerspruch	
Statistiken	Datenerhebungen	
Tourismusländer	Urlaubsländer	
traditionell	schon seit jeher	
touristisch	Urlaubsländer	
Faktor	Punkt	
attraktiv	ansprechend	
Territoriums	Hoheitsgebietes	
vital	unabdingbar	
UNO-Resolution	UN-Übereinkunft	
Sonderkommission	Sondergruppe	
kontrollieren	überwachen	
visum	Einreiseerlaubnis	
WWF	WWF	
Profite	Gewinne	
Region	Gegend	
ruinieren	verarmen lassen	
Regionen	Gegenden	
miserabel	schlecht	
resultieren	folgen	
bürokratisieren	mehr starre Verwaltung einführen	
revolutionär	umstürzerisch	
Konkurs	die Zahlungsunfähigkeit	
rate	anteil	
rapide	schnell	
starten	beginnen	
offiziell	amtlich	
UN-Generalsekretär	UN-Generalsekretär	
Status	Stellung	
eklatant	offensichtlich	
Deserteure	Fahnenflüchtige	
Sanktionen	Strafen	
smart sanctions	"smart sanctions"	
Chefs	Vorsitzenden	
korrupter	käuflicher	
seriös	in ernsthafter Weise	
diskutieren	sprechen	
intensivieren	verstärken	
Kollege	Amtsgenosse	
clever	schlau	
separat	getrennt	
kreieren	schaffen	
Kontrolle	Überwachung	
primär	vorrangig	
prioritär	vorrangig	
phasing out	die Außerdienststellung	
transfers	austauschs	
Ineffizienz	Langsamkeit	
konstatieren	festzustellen	
NGO	NRO	
perfide	hinterhältige	
kriminell	verbrecherisch	
surfen	benutzen	
Fonds	Vermögensschatz	
Information	Unterrichtung	
temporär	zeitlich	
pedantisch	kleinlich	
Produktions	Herstellungsfaktoren	
manipulieren	verfälschen	
blockieren	verhindern	
manövrieren	bewegen	
ungeniert	schamlos	
Tele	Fern	
reservieren	beanspruchen	
Protest	Einspruch	
Posten	Amt	
Sanktionen	Leitender	
UN-Mission	UN-Auftrags	
Statistik	Datenerhebung	
UN-Mandat	UN-Auftrag	
UNICEF	UNICEF	
zivilisierte	bürgerliche	
Notiz	Kenntnis	
banal	ernüchternd	
reaktionär	forschrittsfeindlich	
Delegation	Abgesandten	
professionell	ordentlich	
anvisieren	ins Auge nehmen	
