flirtear	coquetear	1.35e-07	8.13e-07
adagio	lema	7.59e-07	1.2e-05
monitoring of the implementation	seguimiento de la implementación	4.77e-08	8.46e-06
influenza	gripe	1.62e-06	8.51e-06
fast track	de vía rápida	1.47e-06	2.47e-05
call back	retrollamada	3.63e-06	0.0
round table	mesa redonda	9.12e-07	7.1e-06
póster	mural	2.19e-06	5.25e-06
new look	nueva imagen	6.51e-06	0.000118
from stable to table	del establo a la mesa	9.64e-08	1.49e-06
on the spot	en el acto	3.18e-06	8.08e-05
bistró	taberna	7.41e-08	2.69e-06
outsourcing	externalización	5.25e-07	3.09e-07
spyware	programa espía	5.13e-07	7.34e-06
opt-out	darse de baja	3.36e-07	2.54e-05
lady	señora	1.17e-05	8.32e-05
safety series	normas de seguridad	8.46e-07	3.88e-05
black vengeance angels	ángeles de la venganza	9.12e-08	1.15e-05
máster	posgrado	5.01e-06	4.68e-06
bufete	despacho	1.95e-06	1.95e-05
camping	acampada	2.29e-06	1.02e-06
roaming	de itinerancia	4.9e-07	9.77e-08
freelance	autónomos	2.75e-06	6.03e-06
jet society	élite	2.41e-06	1e-05
antidumping	anti competencia desleal	1.45e-07	1.79e-06
chófer	conductor	1.91e-06	2.29e-05
blue box	caja azul	3.89e-06	3.34e-05
bulevar	avenida	1.55e-06	2.45e-05
bypass ratio	relación de derivación	6e-07	1.8e-06
hackers	piratas informáticos	2.82e-06	3.85e-06
ticket	vale	2.95e-06	0.000138
yonqui	drogradicto	7.76e-08	0.0
drafting sessions	sesiones de redacción	2.01e-08	1.04e-05
road pricing	tarificación de rutas	9.63e-08	1.09e-07
estatus	categoría	1.17e-05	5.01e-05
public private partnership	de colaboración público privada	2.52e-07	2.2e-05
droit de suite	derecho de participación	3.35e-07	7.45e-05
workshop	seminario	9.77e-07	1.45e-05
vendetta	venganza	8.51e-07	1.91e-05
complot	conspiración	3.63e-06	1.12e-05
estándar	norma	1.66e-05	3.02e-05
marketing	mercadotecnica	1.55e-05	0.0
foyer	vestíbulo	1e-07	3.72e-06
pull	de tracción	8.91e-07	4.27e-06
spammer	remitentes de correo basura	4.9e-08	2.38e-07
best seller	superventas	8.88e-07	2.75e-07
stakeholders society	sociedades de participación ciudadana	8.39e-08	1.11e-05
input	datos de entrada	6.03e-07	6.65e-05
premium	de pago	6.76e-06	8.31e-05
action	acción	4.37e-06	0.000135
e in tempo	y a tiempo	2.09e-06	0.000868
jets	aviones	1.48e-06	2.29e-05
momentum	impulso	4.37e-07	1.82e-05
one man	un hombre	1.45e-05	0.000368
gendarme	agente de policía	6.03e-07	2.93e-05
end of live vehiculs	vehículos al final de su vida útil	0.0	1.6e-05
hooligans	fanáticos violentos	6.17e-07	5.3e-06
bistec	filete	6.31e-07	1.23e-06
