出口	外销	Japanese
吧	罷	
中國	華夏	Japanese
世界	天下	Japanese
注射	打针	Japanese
迷思	傳言	
坦克	铁甲车	
粉	迷	English
背景	底子	Japanese
方案	计划	Japanese
博客	网络日记	
喇嘛	法师	Manchu
俱乐部	会所	
支付	付款	Japanese
引擎	发动机	
營業	買賣	
取消	废止	Japanese
幽默	风趣	
浪漫	风花雪月	
饮料	茶水	
未来	将来	
叮噹貓	叮噹貓 	
酒吧	酒馆	
巴士	公交车	
质量	品质	
入口	门口	Japanese
例外	各异	Japanese
派对	聚會	
中国	華夏	
解放	豁免	Japanese
理由	原因	Japanese
反應	迴響	Japanese
朱古力	巧克力	English
料理	菜肴	Japanese
警察	巡捕	
基準	标准	Japanese
俄羅斯	俄國	Manchu
卡波特	城堡	
沙龙	聚会	
切尔西 	切尔西	
探戈	阿根廷	
吉他	六弦琴	
質量	品質	Japanese
克拉花 	克拉花	
意大利	意大利 	English
世界 	天下 	
經驗	閱歷	Japanese
克	兩	Tibetan
噸	鈞	English
粉丝	追隨者	
鎊	公斤	English
秀	展示	
赤字	入不敷出	Japanese
脱口秀	单口喜剧	
推	追	Japanese
爹地	爹	
迷你	袖珍	
料理	菜餚	Japanese
番外	外传	Japanese
野球	棒球	Japanese
冰淇淋	雪糕	
立場	意見	Japanese
的士	出租車	
進化	演变	Japanese
嘉年华	狂欢节	
嗨	开心	English
通勤	上下班往返	Japanese
拜拜	再见	
組合	團體	Japanese
便當	盒飯	Japanese
三文鱼	鲑鱼	
抽象	笼统	Japanese
维多利亚	 维多利亚	
場合	情況	Japanese
摩根大通 	摩根大通	
 迈克尔 史密斯	迈克尔 史密斯	
俱樂部	會所	Japanese
吉米 巴特勒 	吉米 巴特勒	
麦克风	话筒	
中国	中华	
塔什干	<塔什干	Manchu
歌舞伎	歌舞演員	Japanese
妈咪	母亲	
趴踢	聚會	
蹦极	高空彈跳	
化妝品	胭脂水粉	Japanese
歇斯底里	癔病	
加拿大 	加拿大	
卡特尔	卡特尔<	
霸凌	欺凌	
民宿	旅店	Japanese
會社	集会	Japanese
搖滾	 搖滾	
華盛頓	 華盛頓	English
 加拿大	加拿大	
康巴什 	康巴什	
壽司	日式飯糰	Japanese
比基尼	三點式	
拷贝	复制	
摩登	時尚	
標記	標誌	Japanese
大亨	富翁	English
悲劇	灾难性事件 	Japanese
郵便局	郵局	Japanese
咖啡	咖啡 	
披薩	意大利薄餅	English
剎那	瞬息	Sanskrit
國 安部	國防部	
吐司	面包	English
芭蕾	芭蕾舞	
脫口秀	单口喜剧	English
援交	援助交際	Japanese
忍者	间谍	Japanese
巴士	公共汽车	
朱古力	巧克力	English
電 路	电力线路	
浪漫	诗意	
男權 主義	父权制	
引擎	发动机	
禮 拜	星期	
博客	日志	
的士	出租车	
幽默	风趣	
漫畫	绘本	Japanese
荷爾蒙	激素	English
酷	棒	
卡路里	热量	
飛船	航天器	
啤酒	小麦酒	
三文治	夹心面包	English
曲奇	饼干	
俱樂部	会所	Japanese
貼士	提示	English
士多	小卖部	English
空手道	武术	Japanese
巴士	公共汽车	
芝士	奶酪	
朱古力	巧克力	English
卡路里	能量	
博客	网络日志	
引擎	发动机	
法老	埃及君主	
三文治	夹心面包	English
浪漫	诗意	
曲奇餅	饼干	
酷	棒	
沙律	凉拌菜	
摩托	机车	English
忍者	间谍	Japanese
俱樂部	会所	Japanese
拜拜	再见	
曼谷	暹罗京, 暹京	Thai
瓦斯	毒气	Japanese
纳粹	国家社会主义	
基督教	景教	Japanese
沙发	软榻	
酒吧	酒馆，酒肆，酒家	
理由	原因，缘由	Japanese
安拉	真主	Arabic
卡	纸牌	French
穆斯林	回教徒	Arabic
扑克	纸牌	
悉尼	雪梨	English
引擎	发动机	
私立	民办	Japanese
荷尔蒙	激素	
便當	盒饭	Japanese
极客	达人	
冰淇淋	雪糕，冰糕	
瑜伽	柔术	
系列	范围	English
雷达	无线电	
坦克	装甲车	
模特	范本	
鸦片	大烟，罂粟	
沙拉	凉菜	
拷贝	副本	
歇斯底里	疯狂，神经质	
夹克	外套	
比基尼	泳装	
麦克风	扬声器，扩音器，话筒	
哲學	理学	Japanese
朱古力	巧克力	English
派对	聚会	
丁克	无子女的	English
娑婆	旋转	Sanskrit
