荷爾蒙	激素	3.16e-06	6.31e-06
卡路里	能量	1.66e-06	5.37e-05
歌舞伎	歌舞演員	1.7e-06	5.67e-07
三文鱼	鲑鱼	3.74e-07	1.78e-06
冰淇淋	雪糕，冰糕	8.91e-06	1.19e-08
披薩	意大利薄餅	5.25e-06	6.94e-08
噸	鈞	5.37e-05	1.55e-06
瓦斯	毒气	7.76e-06	6.61e-06
浪漫	诗意	2.69e-05	3.47e-06
的士	出租車	2.95e-06	1.86e-05
冰淇淋	雪糕	8.91e-06	1.7e-06
方案	计划	0.000141	0.000871
民宿	旅店	2.69e-06	3.47e-06
啤酒	小麦酒	1.78e-05	1.14e-06
理由	原因	0.0001	0.000282
迈克尔 史密斯	迈克尔 史密斯	0.0	0.0
鸦片	大烟，罂粟	1e-05	2.2e-08
三文治	夹心面包	3.2e-07	1e-07
俱樂部	会所	6.46e-05	8.04e-05
脱口秀	单口喜剧	2.95e-06	1.21e-07
通勤	上下班往返	5.01e-06	1.25e-07
吐司	面包	1.5e-06	2.57e-05
粉	迷	2.14e-05	1.48e-05
背景	底子	0.000102	1.26e-06
注射	打针	1.41e-05	3.63e-06
料理	菜餚	1.74e-05	4.27e-06
卡特尔	卡特尔<	1.2e-06	0.0
歇斯底里	癔病	2.57e-06	1.35e-09
沙龙	聚会	5.5e-06	2.75e-05
卡	纸牌	0.0001	3.47e-06
俱樂部	會所	6.46e-05	8.04e-05
粉丝	追隨者	3.31e-05	3.63e-06
巴士	公共汽车	2.95e-05	2.51e-06
的士	出租车	2.95e-06	1.86e-05
哲學	理学	5.89e-05	5.75e-06
便當	盒飯	3.8e-06	9e-07
番外	外传	2.03e-06	4.27e-06
迷你	袖珍	1.74e-05	1.29e-06
郵便局	郵局	6.29e-08	6.76e-06
化妝品	胭脂水粉	1.07e-05	1.46e-08
空手道	武术	1.91e-06	1.02e-05
脫口秀	单口喜剧	2.95e-06	1.21e-07
派对	聚会	1.48e-05	2.75e-05
拜拜	再见	2.69e-06	2.95e-05
私立	民办	6.61e-06	5.75e-06
质量	品质	0.000129	4.68e-05
漫畫	绘本	9.33e-05	1.55e-06
世界	天下	0.000912	8.13e-05
鎊	公斤	1.1e-05	3.31e-05
博客	日志	4.27e-05	1.38e-05
摩根大通	摩根大通	2.53e-07	2.53e-07
反應	迴響	0.000145	2.14e-06
悲劇	灾难性事件	3.47e-05	2.03e-07
組合	團體	6.76e-05	0.000132
忍者	间谍	3.98e-06	2.34e-05
极客	达人	2.59e-06	3.12e-05
朱古力	巧克力	1.29e-07	1.7e-05
博客	网络日志	4.27e-05	1.33e-06
入口	门口	3.24e-05	3.39e-05
丁克	无子女的	2.18e-06	4.14e-07
悉尼	雪梨	8.13e-06	3.55e-06
扑克	纸牌	5.01e-06	3.47e-06
沙拉	凉菜	3.89e-06	8.68e-07
電 路	电力线路	0.0	2.29e-06
出口	外销	9.33e-05	3.98e-06
