τσάντα	σάκος	Ottoman Turkish
κλικ	πάτημα (κουμπιού)	French
πάρτι	γιορτή	
μπολ	κύπελλο	
μπάνιο	λουτρό 	Italian
σεξ	συνουσία	
τεστ	έλεγχο	English
τεστ	έλεγχο	English
παρέα	συντροφία 	
ίντερνετ	διαδίκτυο	English
μετάλλιο	έμβλημα 	Italian
καριέρα	σταδιοδρομία	Italian
σουτιέν	στηθόδεσμος	
έξτρα	επιπλέον	French
ρόλος	χαρακτήρας	
φόρμα	έντυπο	Italian
γκάμα	ποικιλία	
πλατφόρμα	βάση δεδομένων	
κούπα	ποτήρι	
τηλεόραση	δέκτης	
λουρί	ιμάντα	
μπαλκόνι	εξώστης	Italian
πάρκινγκ	χώρος στάθμευσης	English
μασάζ	μαλάξεις	
λίστα	κατάλογος	Italian
χιούμορ	αστεϊσμός	English
μεράκι	ζήλο	
προφίλ	περίγραμματος	
μεζονέτα	διώροφη κατοικία	
κλάση	κατηγορία	
ντοκιμαντέρ	τεκμηριογράφημα	
ταλέντο	δεξιότητα	Italian
βόλτα	περίπατος	
σκίτσο	σκαρίφημα	Italian
βάζο	δοχείο	
κρεβάτι	κλίνη	
κανάλι	σταθμός	
μοντέρνος	σύγχρονος	Italian
ντεμοντέ	ξεπερασμένος	
παπαγάλος	ψιττακός	
μοβ	πορφυρές	
βάρδος	ποιητής	
μενού	επιλογές	
σπορ	αθλήματα	French
μετρό	υπόγειου σιδηροδρόμου	
τζάμι	γυαλί	Ottoman Turkish
καπάκι	πώμα	Ottoman Turkish
σοκ	κλονισμού	
μακιγιάζ	βάψιμο	
κολιέ	περιδέραιο	
ντε	στην πράξη	
τραμ	τροχιόδρομο	
μάρκετινγκ	προώθησης	English
μάρκα	επωνυμία	Italian
ντεκολτέ	λαιμόκοψη	
μοτέρ	κινητήρα	
άλμπουμ	συλλογή	Latin
κεχριμπάρι	ήλεκτρο	Ottoman Turkish
μπλαζέ	ασυγκίνητου	
μπουκέτο	ανθοδέσμη	
αξεσουάρ	είδη	
χίντι	ινδικά	English
μπουφάν	πανωφόρι	
μάγια	μαγγανείες	French
ραντεβού	συνάντηση	
φλιτζάνι	ποτήρι	Ottoman Turkish
σαμποτάζ	δολιοφθορά	
πόλο	άκρο	
κάρβουνο	άνθρακα	
ντοκουμέντο	τεκμήριο	
ρεσεψιόν	υποδοχή	
σεζόν	περιόδου	
βαλίτσα	αποσκευή	
χούντα	δικτατορία	
βεράντα	εξώστης	
σινεμά	κινηματογράφοι	
κάρτα	δελτίο	Italian
καΐκι	πλοιάριο	Ottoman Turkish
κουρτίνα	παραπέτασμα	
ρεπορτάζ	δελτίο	
παρόλα	παρά ταύτα	Italian
γκαλερί	πινακοθήκης	
ντουλάπι	ερμάριο	
φρέσκος	φρέσκος	Italian
παλέτα	φάσμα	
μούσι	γένια	
κέφι	ευθυμία	Ottoman Turkish
ρουζ	ρουζ	
κραγιόν	βαφή χειλιών 	French
τιρκουάζ	γαλαζοπράσινο	
καπό	κάλλυμα	
πιάτσα	στάση	
κουλτούρα	πολιτισμός	
ατελιέ	καλλιτεχνικό εργαστήριό	
χαλί	κάλλυμα πατώματος	Ottoman Turkish
παπούτσι	υπόδημα	
μασίφ	συμπαγής	
κουβερτούρα	σοκολάτα ζαχαροπλαστικής	
λάκα	βαφή	
ρεκτιφιέ	επισκευή	
τσιπ	μικροκύκλωμα	English
φεστιβάλ	πανηγύρι	
ομπρέλα	αιγίδα	
τρέσα	σειρά	
νότα	αίσθηση	
μπουτόν	κουμπί	
πινέλο	χρωστήρας	
μεζές	λιχουδιά	
καλοριφέρ	θερμαντικό σώμα	
ντίβα	πρωταγωνίστρια	
βούρτσα	χτένα	
πετσέτα	πανί	
βέργα	ράβδο	
μπορντούρα	περίγραμμα	
νούμερο	αριθμό	
δαντέλα	κέντημα	
ρεκόρ	επιτεύγματά	
κουκούλα	κάλυμμα κεφαλής 	
πανόραμα	θέα	
ασανσέρ	ανελκυστήρας	
σόου	παράσταση	English
σεφ	μάγειρας	
ντεμπούτο	πρώτη εμφάνιση	
μπετόν	σκυρόδεμα	
καράφα	κανάτα	Italian
πάστα	πολτός 	
μπράβο	συγχαρητήρια	Italian
παρμπρίζ	ανεμοθώρακας	
παζλ	γρίφος	
σοσιαλδημοκρατία	κοινωνική δημοκρατία 	
μπόι	ύψος	
πόμολο	λαβή	
ντεγκραντέ	βαθμιαίοι	
ζενίθ	έπακρο	
κουβέντα	λόγο	
γλόμπος	λαμπτήρας	
σούπα	ζωμός	French
σοφίτα	ανώγειο	French
καλούπι	μήτρα	Ottoman Turkish
πίστα	επίπεδο	
