sîsteme	pergal	
wilayet	parêzgeh	
swing states	swing states	
wilayet	parêzgeh	
mesela	pirsgirêk	
behs	gotûbêj	
over pass	over pass	
social media	medyaya civakî	
behs	gotûbêj	
salt contamination	salt contamination<	
behs	gotûbêj	
social media	medyaya civakî	
haym	kampa penaberan	
mişterek	hevbeş	
fourth of July	çarê tîrmehê	
şêf	xwarinsaz	
steak	steyk	
el'aba	lîstokan	
ewilî	destpêkê	
test	ezmûn	
test	ezmûn	
ehtîmalê	gengaz e	
schedule	xişte	
print	çapkirî	
print	çap	
schedule	xişte	
Extra protection	Parastina zêde	
şûxl	kar	
case	doz	
şûxl	kar	
part	beş	
message	<peyam	
risale	peyam	
community	civak	
şûxl	kar	
client	kiryar	
wextê	dema	
dielimine	fêr dike	
Seconds	çirke	
nap	amade	
transcribt	rûnivîs	
mekteb	dibistan	
backyard	paşîya xênî	
parsley	parsley	
mesela	mijar	
mesela	mijar	
vollyball	vollyball	
voleybolê	voleybolê	
mesela	mijar	
vollyball	vollyball	
misaîde	alîkarî	
vollyball	vollyball	
net	tor	
rehet	hêsa	
cherry	gêlaz	
Green card	karta kesk	
Google Translate	Google	
Google Translate	Google	
truck	kamyon	
box truck	box truck	
expedite	bilez	
hot shot	hot shot	
misaîtim	alîkar im	
application	daxwazname	
Walla	Bi Xwedê	
positive	erênî	
yanî	dêmek	
positive	erênî	
yanî	dêmek	
ereba	otomobîla	
forklift	forklift	
forklift	forklift	
temas	têkilî	
însana	mirovan	
university	zanîngeh	
university	zanîngeh	
university	zanîngeh	
îmkanî	derfet	
swinging	doşkirin	
swing	doş	
state	parêzgeh	
eyalet	malbat	
I am bored	ez bêzar im	
high school	dibistana navendî	
volenteer	xwebexş	
ders	wane	
advantage	sûd	
hybrid	hîbrîd	
hybrid	hîbrîd	
belkî	gengaz e ku	
undergrade	undergrade	
discussion	gengeşe	
ders	wane	
proposal	pêşniyar	
qebûl	pesend	
qoltux	qebûl	
Yanî	dêmek	
Island	girav	
yanî	dêmek	
Island	girav	
yeah	erê	
Island	girav	
Island	girav	
ereb	otomobîl	
ereb	otomobîl	
Island	girav	
wext	dem	
location	cih	
downtown	navenda bajêr	
downtown	navenda bajêr	
why not	çima na	
puppy, puppy	cewrikê cewrik	
ama	Yanî	
cimaet	civat	
north	bakur	
ten seconds	deh çirkeyan	
sure	bêguman	
Jefferson Park	park	
soccor	gogling	
artificial	çêkirî	
olympic	olympic	
olympic standard	olympic standard	
soccer	gogling	
undergraduate	xwendekar	
coach	rahêner	
soccer coach	rahênerê goglingê	
university	zanîngeh	
