enorm	stark	
solide	sichere	
präzise	genau	
Know-how	Fachwissens	
parallel	gleichzeitig	
engagieren	bemühen	
debattieren	sprechen uns	
drastisch	in hohem Maß	
WTO	Welthandelsorganisation	
kontrollieren	überprüfen	
couragiert	beherzt	
generell	allgemein	
massiv	äußerst stark	
unterminieren	aushöhlen	
modern	fortschrittlich	
UN-Resolution	UN-Beschluss	
präsentieren	darstellen	
autorisieren	ermächtigen	
lukrativ	gewinnbringend	
infiltrieren	eindringen	
individuell	einzeln	
Avantgarde-Länder	Vorreiter-Länder	
etablieren	einrichten	
high level steering group	höheren Lenkungsgruppe	
hot spots	Brennpunkten	
unfair	ungerecht	
raffiniert	durchtrieben	
finanzieren	bezahlen	
prosperieren	gedeihen	
kaschieren	verbergen	
PR-Kampagne	Werbekampagne	
präzisieren	genauer zu fassen	
UN-Konferenz	UN-Zusammenkunft	
variabel	abwandelbar	
blockieren	stoppen	
riskieren	laufen wir ständig Gefahr	
motivieren	anspornen	
komplett	vollständig	
live	zeitgleich	
basieren	fußen	
komplementär	unterstützend	
vage	schwammige	
repräsentieren	stellen	
experimentieren	Versuche zu starten	
krepieren	verrecken	
riskant	gefährlich	
liberal	großzügig	
leger	locker	
fair	gerecht	
permanent	unablässig	
plädieren	möchten	
passieren	vorkommen	
Klischee	eingefahrenen Vorstellung	
Paradoxon	Widerspruch	
Statistiken	Datenerhebungen	
Tourismusländer	Urlaubsländer	
traditionell	schon seit jeher	
touristisch	Urlaubsländer	
Faktor	Punkt	
attraktiv	ansprechend	
Territoriums	Hoheitsgebietes	
vital	unabdingbar	
UNO-Resolution	UN-Übereinkunft	
Sonderkommission	Sondergruppe	
kontrollieren	überwachen	
visum	Einreiseerlaubnis	
Profite	Gewinne	
Region	Gegend	
ruinieren	verarmen lassen	
Regionen	Gegenden	
miserabel	schlecht	
resultieren	folgen	
bürokratisieren	mehr starre Verwaltung einführen	
revolutionär	umstürzerisch	
Konkurs	die Zahlungsunfähigkeit	
rate	anteil	
rapide	schnell	
starten	beginnen	
offiziell	amtlich	
Status	Stellung	
eklatant	offensichtlich	
Deserteure	Fahnenflüchtige	
Sanktionen	Strafen	
smart sanctions	"smart sanctions"	
Chefs	Vorsitzenden	
korrupter	käuflicher	
seriös	in ernsthafter Weise	
diskutieren	sprechen	
intensivieren	verstärken	
Kollege	Amtsgenosse	
clever	schlau	
separat	getrennt	
kreieren	schaffen	
Kontrolle	Überwachung	
primär	vorrangig	
prioritär	vorrangig	
phasing out	die Außerdienststellung	
transfers	austauschs	
Ineffizienz	Langsamkeit	
konstatieren	festzustellen	
NGO	NRO	
perfide	hinterhältige	
kriminell	verbrecherisch	
surfen	benutzen	
Fonds	Vermögensschatz	
Information	Unterrichtung	
temporär	zeitlich	
pedantisch	kleinlich	
Produktions	Herstellungsfaktoren	
manipulieren	verfälschen	
blockieren	verhindern	
manövrieren	bewegen	
ungeniert	schamlos	
Tele	Fern	
reservieren	beanspruchen	
Protest	Einspruch	
Posten	Amt	
Sanktionen	Leitender	
UN-Mission	UN-Auftrags	
Statistik	Datenerhebung	
UN-Mandat	UN-Auftrag	
zivilisierte	bürgerliche	
Notiz	Kenntnis	
banal	ernüchternd	
reaktionär	forschrittsfeindlich	
Delegation	Abgesandten	
professionell	ordentlich	
anvisieren	ins Auge nehmen	
visionär	zukunftsweisend	
nonchalant	unbekümmert	
komplizierte	vertrackte	
kompromittieren	vorführen	
clean	sauber	
fixen	festgefahrenen	
Idee	Gedankens	
bombardieren	aus der Luft anzugreifen	
regulär	ordentlich	
zivil	öffentlich	
salopp	vereinfacht	
ambitiös	ehrgeizig	
rentieren	lohnen	
elegant	schön	
originell	schöpferisch	
Konflikte	Streite	
eskalieren	ausarten	
massiver	außerordentlicher	
kulant	großzügig	
unisono	einstimmig	
obligatorische	verpflichtende	
adieu	Tschüß	
testen	prüfen	
trimmen	bringen	
Quoten	Anteile	
Information	Wissen	
indoor	innerräumliche	
pollution	Verschmutzung	
brisant	heiß	
akkreditieren	zuzulassen	
happy	schöner	
day	Tag	
Faktum	Klar	
prekär	aussichtslos	
delegieren	verlegen	
HIV-Infektion	HIV-Ansteckung	
sondieren	abzuklären	
forcieren	verstärken	
Video-on-Demand	Filme-auf-Abruf	
fit	gesund	
platzieren	aufzustellen	
online	im Internet	
offline	sonst	
Make-up	Feigenblatt	
konträr	Widerspruch	
trivial	einfach	
tricksen	täuschen	
streiken	in den Ausstand zu treten	
totalitär	allgewalting	
komplettieren	vervollständigen	
spektakulär	aufsehenerregend	
hip	angesagt	
cool	stark	
zufaxen	zusenden	
votieren	stimmen	
Déjà-vu	Erinnerungstäuschung	
charakterisieren	beschreiben	
diskret	unauffällig	
populär	beliebt	
rassistisch	völkisch	
autoritär	herrisch	
checken	überprüfen	
balancieren	bewegen uns	
transferieren	übertragen	
blamieren	bloßstellen	
depressiv	niedergeschlagen	
shoppen	anschaffen	
orange	apfelsinenfarben	
balkanisieren	aufteilen	
ruinös	zerstörerisch	
amüsant	lustig	
poetisch	dichterisch	
grotesk	ungewöhnlich	
managen	handhaben	
vis-à-vis	gegenüber	
sexy	ansprechend	
alarmieren	beunruhigen	
downloaden	herunterladen	
free	freien	
markant	auffallend	
inflationär	überbordend	
schikanieren	drangsalieren	
demoralisieren	entmutigen	
genial	wunderbar	
SMS	Kurznachricht	
klonen	vervielfältigen	
frisieren	beschönigen	
validieren	bestätigen	
tippen	wetten	
nervös	angespannt	
UNO-Organisation	UNO-Verband	
sportlich	kraftstrotzend	
uncool	altmodisch	
basta	Schluss	
sekundär	zweitrangig	
UNO-Mandat	UNO-Auftrag	
extravagant	übertrieben	
UN-Organisation	UN-Verbands	
brutto	ohne Abzug der Steuern	
einchecken	anmelden	
Laissez-faire	Nichteinmischens	
primitiv	einfach	
rationell	zweckdienlich	
originär	ursprünglich	
schockieren	erschrecken	
trickreich	listig	
zentralisieren	zusammenführen	
ultimo	Fristende	
what goes up, must come down	 what goes up, must come 	
stationär	im Krankenhaus	
adressieren	richten	
kommerzialisieren	ausbeuten	
brillant	wunderbar	
bankrott	pleite	
desavouieren	bloß	
netto	nach Abzug	
konfus	durcheinander	
fifty-fifty	halb-halb	
graduell	allmählich	
penibel	sorgfältig	
standardisieren	vereinheitlichen	
brüsk	abweisend	
bravourös	vortrefflich	
pokern	spielen	
dämonisieren	verteufeln	
parken	abstellen	
nonstop	ohne Halt	
trist	trostlos	
interviewen	befragen	
kuschen	nachgeben	
rangieren	stehen	
konterkarieren	durchkreuzen	
offiziös	halbamtlich	
parlieren	reden	
arrangieren	gestalten	
strapazieren	belasten	
tanken	ihren Tank	
recyclingfähig	wiederverwertbar	
flankieren	begleiten	
toppen	überbieten	
kosmetisch	oberflächlich	
HIV-infiziert	erkrankt	
audiovisuell	über Ton und Sicht	
partout	ganz und gar	
kiffen	rauchen	
simulieren	abbilden	
sentimental	von Gefühlen	
blond	golden	
rebellieren	sich widersetzen	
reell	echt	
mysteriös	seltsam	
legendär	berühmt	
Reality-TV	"Reality"-Fernsehsendung	
computergesteuert	rechnergesteuert	
montieren	zusammensetzen	
CEO	Vorstand	
bizarr	verrückt	
zelebrieren	feiern	
standardmäßig	vorschriftsmäßig	
recyclebar	wiederverwendbar	
avisieren	zielen	
charmant	bezaubernd	
passé	überkommen	
bagatellisieren	verharmlosen	
desaströs	vernichtend	
promoten	bewerben	
avancieren	werden	
banalisieren	verharmlosen	
lancieren	starten	
visuell	dem Anschein nach	
chartern	anmieten	
durchstarten	erfolgreich sein	
HIV-Test	HIV-Abklärung	
paddeln	rudern	
automatisieren	maschinell zu verselbstständigen	
computergestützt	rechnergestützt	
frontal	am Kopf	
kaprizieren	versteifen	
verlinken	verbinden	
filmen	auf Band aufnehmen	
jonglieren	hin- und herspringen	
Homepage	Netzseite	
einloggen	anmelden	
bigott	scheinheilig	
MP3-Player	MP3-Abspieler	
visieren	fassen	
abonnieren	bestellen	
Pay-TV	Bezahlfernsehen	
boxen	fechten	
unsportlich	verwerflich	
trainieren	üben	
HIV-positiv	HIV-erkrankt	
schick	schmuck	
Aggressor	Anstifter	
Opposition	Gegenseite	
massakrieren	abschlachten	
chatten	plaudern	
imaginär	eingebildet	
betanken	auffüllen	
doktrinär	zu strikt	
korrespondieren	vermitteln	
rationieren	aufteilen	
bunkern	horten	
pompös	wuchtig	
fade	schwache	
paraphrasieren	nachsprechen	
ordern	bestellen	
Check-up	Prüfung	
TV-Serie	Fernsehsendung	
brillieren	hervorzutun	
uniform	gleichförmig	
akquirieren	bekommen	
chauvinistisch	altherrenmäßig	
Business-as-usual	Geschäft-wie-sonst-auch	
familiär	in ihrer Sippe	
betonieren	meißeln	
CD-Player	CD-Abspieler	
komfortabel	angenehm	
nuancieren	abschwächen	
belle	schönen	
defilieren	auftreten	
brüskieren	bloßstellen	
frappierend	ganz stark	
makaber	dunkel	
monetär	finanziell	
kapriziös	launisch	
amüsieren	erfreuen	
malträtieren	schlecht behandeln	
crescendo	stetig lauter werdend	
posieren	zeigen	
vis-a-vis	von Angesicht zu Angesicht	
frenetisch	stürmisch	
aufsplitten	aufteilen	
saisonal	durch die Jahreszeiten	
killen	nichte zu machen	
schachmatt	erledigt	
internetfähig	fähig für das weltweite Netzwerk	
abscannen	abfotografieren	
Start-up-Unternehmen	neu gegründeten Unternehmen	
all-inclusive	alles einschließt	
just-in-time	im Augenblick	
retournieren	zurückzusenden	
beamen	zaubern	
CAD	kanadische Dollar	
arbiträr	willkürlich	
stressresistent	widerstandsfähig	
PISA-Studie	PISA-Erhebung	
pointiert	zugespitzt	
