óm	Danish		
fés	Danish		
fúx	Danish		
tau	Danish		
tja	Danish		
óbó	Danish		
amor	Latin		
fána	Latin		
gen	German		
man	German		
bæ	English		
vá	English		
mús	French		
buff	Danish		
bugt	Danish		
bæsa	Danish		
búnt	Danish		
fart	Danish		
fúga	Danish		
snuð	Danish		
sver	Danish		
sósa	Danish		
takk	Danish		
debet	Latin		
dorma	Latin		
regla	Latin		
sínus	Latin		
koja	German		
saft	German		
bar	English		
fax	English		
hax	English		
par	English		
sex	English		
ball	French		
mútta	Danish		
renta	Danish		
rúnna	Danish		
skítt	Danish		
snafs	Danish		
spaug	Danish		
spæll	Danish		
stell	Danish		
stáss	Danish		
stóla	Danish		
sykur	Danish		
sérrí	Danish		
takki	Danish		
tanta	Danish		
veski	Danish		
vinka	Danish		
órans	Danish		
þrúga	Danish		
fúga	Italian		
krókus	Latin		
pardus	Latin		
sement	Latin		
stemma	Latin		
lager	German		
listi	German		
adda	English		
bræt	English		
djók	English		
flís	English		
golf	English		
hönk	English		
koks	English		
lúkk	English		
nörd	English		
olla	English		
púma	English		
sexí	English		
stát	English		
tana	English		
teip	English		
bravó	French		
bransi	Danish		
dunkur	Danish		
grúbba	Danish		
sminka	Danish		
sneddí	Danish		
soddan	Danish		
splæsa	Danish		
spritt	Danish		
spínat	Danish		
stemma	Danish		
stoppa	Danish		
stroff	Danish		
stulta	Danish		
sturta	Danish		
svindl	Danish		
túndra	Danish		
valmúi	Danish		
vaskur	Danish		
veigra	Danish		
pasta	Italian		
pizza	Italian		
píanó	Italian		
pítsa	Italian		
pendúll	Latin		
persóna	Latin		
predika	Latin		
bambus	German		
korkur	German		
krassa	German		
mandla	German		
mortél	German		
blogg	English		
bónus	English		
deita	English		
dróni	English		
gella	English		
grand	English		
klikk	English		
líter	English		
panda	English		
póker	English		
ráder	English		
róbot	English		
seena	English		
seiva	English		
skíri	English		
sérrí	English		
súper	English		
tromp	English		
bransi	French		
granít	French		
kúskús	French		
akkúrat	Danish		
dómpápi	Danish		
fenómen	Danish		
krepera	Danish		
smekkur	Danish		
stúdent	Danish		
