					
					
Πίνετε αυτό το <L1>τσάι</L1> κρύο, 2-3 φορές τη μέρα πριν από τα γεύματα.	Take 1 teaspoon of pollen, 2 times a day for half an hour before meals.				
Πίνετε αυτό το <N1>(τέιο) τσάι</N1> κρύο, 2-3 φορές τη μέρα πριν από τα γεύματα.	Take 1 teaspoon of pollen, 2 times a day for half an hour before meals.				
FALSE					
					
Κατά τον Κριμαϊκό Πόλεμο, στη Μήλο οι δυνάμεις των Άγγλων και των Γάλλων ίδρυσαν ναυτική βάση στο <L1>λιμάνι</L1> του Αδάμαντα.	During the Crimean War, Milos forces of the British and French established a naval base in the port of Adamas.	λιμένας 			
Κατά τον Κριμαϊκό Πόλεμο, στη Μήλο οι δυνάμεις των Άγγλων και των Γάλλων ίδρυσαν ναυτική βάση στο <N1>λιμένα</N1> του Αδάμαντα.	During the Crimean War, Milos forces of the British and French established a naval base in the port of Adamas.				
FALSE					
					
Κωδικός Προϊόντος: 92670 Αδιάβροχη <L1>τσάντα</L1> με κλείσιμο με <L2>κλικ</L2> και προσαρμόσιμο λουρί.	Product Ref: 92670 Tarpaulin waterproof bag with click closure and adjustable strap.	σάκος ή θήκη | πάτημα (κουμπιού)			
Κωδικός Προϊόντος: 92670 Αδιάβροχη <N1>σάκος</N1> με κλείσιμο με <N2>πάτημα (κουμπιού)</N2> και προσαρμόσιμο λουρί.	Product Ref: 92670 Tarpaulin waterproof bag with click closure and adjustable strap.				
TRUE					
					
Προσφέρουμε κομψές και μοντέρνες λύσεις για εστιατόρια και καφετέριες στους δρόμους: σκηνές για βεράντες εστιατορίων και εποχιακών χώρων, στέγαστρα, λόμπι εισόδου και περίπτερα για καλοκαιρινά καφέ, καθώς και βεράντες για χώρους <L1>στιλ</L1> στον τελευταίο όροφο σε στέγες ή ψηλότερους ορόφους κτιρίων.	We offer stylish and modern solutions for restaurants and street cafés: tents for terraces of restaurants and seasonal sites, canopies, entrance lobbies and pavilions for summer cafés, as well as terraces for rooftop style venues on roofs or higher floors of buildings.	ύφος (?)			
